,Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
63,Vertex Cover Size,Y,3.0,,,58.0,4.0,431.0,6.0,4558.0,8.0,73525.0,11.0,1921000.0,14.0,"(64, eps n)",2.97,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03,64.03
64,Vertex Cover Size,Y,4.0,,,6.0,1.0,12.0,1.0,25.0,1.0,57.0,2.0,144.0,2.0,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
65,Vertex Cover Size,Y,5.0,,,614.0,8.0,82961.0,15.0,14890000.0,23.0,3095000000.0,30.0,701900000000.0,38.0,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
66,Vertex Cover Size,Y,6.0,,,1e+40,100.0,1e+40,1778.0,1e+40,31622.0,1e+40,562341.0,1e+40,10000000.0,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
67,Vertex Cover Size,Y,7.0,,,1e+40,31.0,1e+40,562.0,1e+40,10000.0,1e+40,177827.0,1e+40,3162000.0,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
68,Vertex Cover Size,Y,8.0,,,9361000000.0,12589.0,999900000000000.0,89060000.0,9.999e+19,1603000000000.0,9.999e+24,4.613e+16,9.999e+29,1.747e+21,2 + eps,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001
69,Vertex Cover Size,Y,9.0,,,1e+40,12589.0,1e+40,89060000.0,1e+40,1603000000000.0,1e+40,4.613e+16,1e+40,1.747e+21,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
70,Vertex Cover Size,Y,10.0,,,2610.0,2610.0,13710000.0,13710000.0,215600000000.0,215600000000.0,5765000000000000.0,5765000000000000.0,2.086e+20,2.086e+20,"(2, eps n)",2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
71,Longest Path Problem,Y,1.0,,,12.0,12.0,16.0,16.0,20.0,20.0,23.0,23.0,27.0,27.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Longest Path Problem,Y,2.0,,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
